date_acquired,date_sold,asset,quantity,proceeds,cost_basis,gain_loss,description,transaction_type,exchange
2023-05-17,2024-04-24,ADA,1979.9229,34936.24,39244.74,-4308.5,Sold 1979.9229 ADA,Sell,Crypto.com
2023-10-21,2025-03-13,LTC,4821.7761,7263.09,4427.97,2835.12,Sold 4821.7761 LTC,Sell,Kraken
2023-08-08,2023-08-16,MATIC,1217.1882,14168.91,4397.21,9771.7,Sold 1217.1882 MATIC,Sell,Crypto.com
2024-09-17,2025-12-30,DOGE,2380.1961,52797.22,44276.03,8521.19,Sold 2380.1961 DOGE,Sell,MetaMask
2022-01-17,2023-04-08,DOGE,310.8299,22458.67,15117.21,7341.46,Sold 310.8299 DOGE,Sell,Coinbase
2020-12-04,2021-12-21,LTC,4886.4426,53681.83,46976.35,6705.48,Sold 4886.4426 LTC,Sell,Binance
2020-05-18,2020-07-13,MATIC,4602.6922,24741.63,20460.11,4281.52,Sold 4602.6922 MATIC,Sell,Gemini
2021-10-13,2022-03-14,ETH,2867.5343,14420.79,11812.15,2608.64,Sold 2867.5343 ETH,Sell,Gemini
2024-08-18,2026-02-08,DOGE,4091.4804,38534.01,38923.44,-389.43,Sold 4091.4804 DOGE,Sell,Binance
2022-10-09,2024-04-22,ADA,813.3376,42659.8,43719.7,-1059.9,Sold 813.3376 ADA,Sell,MetaMask
2022-06-07,2023-01-17,SOL,2954.4592,15880.02,6840.85,9039.17,Sold 2954.4592 SOL,Sell,Kraken
2024-11-08,2025-10-11,ETH,2482.4377,35669.06,26026.25,9642.81,Sold 2482.4377 ETH,Sell,Crypto.com
2020-06-14,2020-09-22,LTC,3348.3839,42038.78,40094.36,1944.42,Sold 3348.3839 LTC,Sell,Coinbase
2020-06-27,2020-09-05,ETH,2822.8021,24789.01,16093.22,8695.79,Sold 2822.8021 ETH,Sell,Binance
2024-03-17,2025-08-02,ETH,1370.0273,10159.98,9219.11,940.87,Sold 1370.0273 ETH,Sell,Coinbase
2020-08-06,2021-03-28,DOGE,3877.4721,27742.64,29772.32,-2029.68,Sold 3877.4721 DOGE,Sell,Coinbase
2021-04-17,2021-10-29,ETH,1944.2902,26570.69,30816.24,-4245.55,Sold 1944.2902 ETH,Sell,Coinbase
2020-11-06,2022-09-14,MATIC,3038.0865,23931.83,21980.01,1951.82,Sold 3038.0865 MATIC,Sell,Coinbase
2022-03-31,2022-10-23,DOGE,3751.61,7284.53,3425.33,3859.2,Sold 3751.61 DOGE,Sell,Binance
2024-05-09,2025-01-11,ETH,4503.0733,8975.97,1940.55,7035.42,Sold 4503.0733 ETH,Sell,Binance
2022-11-12,2023-11-01,DOT,868.6145,46353.98,36685.62,9668.36,Sold 868.6145 DOT,Sell,MetaMask
2021-06-21,2021-11-18,LTC,2122.069,10966.03,6791.09,4174.94,Sold 2122.069 LTC,Sell,Kraken
2022-09-23,2022-11-06,LTC,1326.9323,41177.46,39208.31,1969.15,Sold 1326.9323 LTC,Sell,Coinbase
2023-12-11,2024-07-27,LTC,2500.9139,42789.89,40755.32,2034.57,Sold 2500.9139 LTC,Sell,MetaMask
2023-09-30,2025-04-12,MATIC,2054.4566,20745.73,19118.37,1627.36,Sold 2054.4566 MATIC,Sell,Gemini
2020-04-15,2021-05-12,SOL,1209.8211,57293.04,49184.5,8108.54,Sold 1209.8211 SOL,Sell,Crypto.com
2021-09-21,2022-11-29,DOT,2096.0868,51374.88,44296.22,7078.66,Sold 2096.0868 DOT,Sell,Kraken
2024-09-09,2025-02-14,BTC,4024.1995,49352.63,49351.76,0.87,Sold 4024.1995 BTC,Sell,MetaMask
2024-07-08,2025-12-15,DOGE,3121.79,43270.2,39731.39,3538.81,Sold 3121.79 DOGE,Sell,Binance
2024-09-22,2025-02-18,DOGE,4088.8738,11904.7,10865.71,1038.99,Sold 4088.8738 DOGE,Sell,MetaMask
2024-07-08,2026-04-15,ETH,1281.6145,9611.1,590.94,9020.16,Sold 1281.6145 ETH,Sell,Crypto.com
2021-04-15,2021-11-13,ADA,336.2893,28460.37,24643.68,3816.69,Sold 336.2893 ADA,Sell,MetaMask
2022-12-13,2024-08-25,ADA,2776.0836,4717.31,2356.35,2360.96,Sold 2776.0836 ADA,Sell,MetaMask
